MAG_ID	domain	phylum	class	order	family	genus	species	total_sites_per_group_LMM	significant_sites_per_group_LMM	score_LMM (%)	grouped_by
MGYG000001315	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Bariatricus	Bariatricus comes	436	4	0.9174311926605504	MAG_ID
MGYG000001338	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A wexlerae	209	1	0.4784688995215311	MAG_ID
MGYG000001345	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens	137886	1982	1.4374193174071337	MAG_ID
MGYG000001346	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	22421	273	1.2176084920387136	MAG_ID
MGYG000001378	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	177881	1960	1.1018602324025613	MAG_ID
MGYG000001977	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp905197435	9062	90	0.9931582432134188	MAG_ID
MGYG000002040	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium butyricigenerans	13145	662	5.03613541270445	MAG_ID
MGYG000002057	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter segnis	9224	80	0.8673026886383347	MAG_ID
MGYG000002223	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp934503275	27464	732	2.6653073113894554	MAG_ID
MGYG000002272	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium taiwanense	76811	1085	1.412558097147544	MAG_ID
MGYG000002274	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_I	12719	323	2.539507822942056	MAG_ID
MGYG000002281	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides faecis	16692	36	0.2156721782890007	MAG_ID
MGYG000002327	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter welbionis	8783	91	1.036092451326426	MAG_ID
MGYG000002395	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	78	0	0.0	MAG_ID
MGYG000002438	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	59842	224	0.3743190401390328	MAG_ID
MGYG000002455	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus	40858	128	0.3132801409760634	MAG_ID
MGYG000002478	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola dorei	43327	896	2.067994553050061	MAG_ID
MGYG000002492	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	76265	2005	2.6289910181603617	MAG_ID
MGYG000002517	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia hominis	886	2	0.2257336343115124	MAG_ID
MGYG000002528	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	579	0	0.0	MAG_ID
MGYG000002530	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	Ruminiclostridium_E siraeum	53559	678	1.2658936873354618	MAG_ID
MGYG000002545	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium longum	122285	2977	2.434476836897412	MAG_ID
MGYG000002549	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae	77209	528	0.6838580994443653	MAG_ID
MGYG000002610	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp900765705	11122	334	3.003057004135947	MAG_ID
MGYG000002617	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter faecalis_A	198	6	3.0303030303030303	MAG_ID
MGYG000002619	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium intestinale	55843	1801	3.2251132639722075	MAG_ID
MGYG000002641	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp003449675	43747	1110	2.5373168445836285	MAG_ID
MGYG000002651	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp900772565	22520	560	2.4866785079928952	MAG_ID
MGYG000002670	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter sp900546625	16497	206	1.248711887009759	MAG_ID
MGYG000002926	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas coprocola	45	0	0.0	MAG_ID
MGYG000003166	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium wellingii	32785	690	2.1046210157084038	MAG_ID
MGYG000003252	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp900761785	10413	81	0.7778738115816767	MAG_ID
MGYG000003351	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp900765785	24939	130	0.5212719034444043	MAG_ID
MGYG000003681	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris	135186	165	0.122054058852248	MAG_ID
MGYG000003686	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Hominicoprocola	Hominicoprocola fusiformis	10384	196	1.8875192604006163	MAG_ID
MGYG000003694	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter faecis	41091	94	0.2287605558394782	MAG_ID
MGYG000003702	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Gallintestinimicrobium	Gallintestinimicrobium propionicum	11496	114	0.9916492693110648	MAG_ID
MGYG000003899	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp900539945	29168	261	0.8948162369720242	MAG_ID
MGYG000003937	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis	6242	45	0.7209227811598846	MAG_ID
MGYG000004158	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister invisus	1373	14	1.0196649672250546	MAG_ID
MGYG000004658	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii	31171	1312	4.20904045426839	MAG_ID
MGYG000004679	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium duncaniae	11941	140	1.1724311196717192	MAG_ID
MGYG000004768	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes avicola	762	6	0.7874015748031495	MAG_ID
MGYG000004769	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium faecium	8030	16	0.199252801992528	MAG_ID
MGYG000004797	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola sartorii	22015	498	2.262094026799909	MAG_ID
